consumer_id,description,validity_period,amount

4795,Almost bad better stage. North true everything see indicate group bad. Cold hotel time less field.,2006-07-27,5
6591,"Under several floor raise. Mean start individual financial. Able wear left.
Big point late kid.",2003-07-22,11
5183,True around difficult beautiful. Letter since value no organization across bar.,2020-08-07,60
6788,"Customer education best. Mention head several book.
Material happen feel quite church. Record figure radio assume knowledge network. Movie effect network management.",1989-03-28,19
5449,"Sell imagine listen modern. The civil against. Feel on special like future. Interview near service technology light.
Various feeling information. Than civil majority start.",2018-01-23,13
5144,"Open near test four. Including material young like product between on. Television ability coach sort.
Term step film protect information scene sell marriage. Fire bar stock.",1990-07-05,14
5985,"Owner money star friend since. Since probably account how surface against why why.
Or performance occur hot bag make. As never condition various. Involve as be list store ago.",1982-02-13,36
4412,Seat discuss against mean scene. Skin skill kid.,1976-04-12,29
5465,"Everyone despite investment than matter win find. Far security home.
Reveal occur down apply attack staff movie. By month music nature appear attention. Must contain thing song top.",2009-09-09,57
5944,Business out benefit agent scientist door. Republican recent situation bank science bad dinner worry. Blood trial and by.,2015-06-08,52
4216,Against scene perform purpose large. Most environment late chair responsibility. People parent government worker movement Congress. Right call light customer paper.,2002-11-17,56
5230,Always effect sport thousand. Worry parent coach usually within. Two star successful type team court billion. Floor degree subject show member food.,2008-09-01,22
6157,"Require election agency thank. Beautiful international over. Conference test color even.
Program challenge boy model large. Hotel onto anything wife.",1997-09-13,37
6343,Style method natural pick today politics. First investment step offer. Nearly decide guess billion down fine make.,1988-09-04,22
4410,"Because carry prevent give. City agreement guy according. Story include eight important improve life.
Stock fill real produce. Enough itself hear.",1982-09-17,58
6964,"Available same cup live turn. Return seek begin gun. Everything left state check culture should.
Up laugh begin world travel. American kitchen quality box thought.",2000-05-19,7
4212,Physical investment writer public. Book young film light itself too window. Force green myself through government.,1979-12-23,52
5504,"Very spend also upon. Pretty week admit kid few continue. Up produce listen deep practice remain.
Project region main by.",2022-02-03,64
4830,Country grow their old hotel. Area hit feel collection sister more live affect. Decision thousand customer analysis attorney street add. Provide include material young.,2005-12-01,57
6871,Despite himself herself reach improve sing who prevent. Begin surface computer minute point network standard. Yourself history step learn traditional put.,1988-02-12,44
4610,"Ever receive president live. Student because test soldier support.
Through far me daughter recent each east. Tonight everyone they cost indicate training.
Then national agreement raise very.",2019-10-23,37
5949,"Marriage small rule machine measure serious. Fill board direction admit mention you. Join green piece draw couple can.
Democrat difference nice well possible seem.",2012-08-03,49
6783,Always behavior need plan shoulder television. Across always but lawyer box point note. Trip American main mean others vote.,1970-04-04,20
4343,"Manage decade from quality.
Ready political field drop serious when. Test for mention action unit. Big present if shoulder.",1975-09-12,53
4249,"Deep enter guy against way human author form. Thus quite south child.
List low six young. Beat certainly series may teach. Country wind table.",2020-08-05,48
4648,"Husband event voice. Prepare ground crime director trial table couple.
Light benefit between character. Ask assume especially see property ago research.",2022-07-05,49
5313,"Method truth serious political relate. Line act cut.
Involve police fact black feel. Institution attorney however at.",1991-04-05,33
5758,Doctor almost heart husband. Direction late avoid summer your than anything. Leader shake include save lead debate green.,1973-08-18,11
4252,"Choice claim attention next various stuff. Including relationship none usually street rate recently. Small meet ball already.
Top material television source adult author stop. Likely seven last ever.",1995-07-22,66
6947,"Air hope generation speak energy. General join toward network seat couple. American director place admit line.
Medical travel fund crime nearly. Seven seem until to newspaper.",1975-02-13,58
4057,"Possible recently effort determine later right goal. Page share everything year threat ok dinner style.
Wide nor where push million remain likely. Be fire of person.",2013-02-02,17
4354,"Story TV idea blue. Anyone enjoy late total daughter dinner heavy.
Network professor choose positive star. Respond put sure skill hot health.",1977-04-19,69
5984,War power long reduce arrive probably standard. Think man thing society with whole street. Friend between white traditional statement fund.,2012-04-21,40
5843,Similar heavy easy police mention none later. Whose south we coach. Seek statement hard property watch.,1987-12-20,13
5143,Car last modern many. Fine in yet. Professional above goal edge different. Traditional else certainly fire decision budget soon fine.,2020-01-03,10
4257,"Door maintain be. Fund example plant option dog. Good visit free argue.
Fight pass point present ball mind. Southern major successful dog maybe system top.",1982-06-30,52
6251,Increase right property national family become. Control then agent black. Hold coach various ever experience believe.,1993-12-31,48
5543,"Part face side their near.
True area while game character offer. Management finish anyone last news future. Always ahead which guess system.
Nearly deep mother all explain team low day.",2017-10-18,20
6657,Various special middle end begin we ball. One serious draw arm him energy. Far election produce guess coach beat yet.,1975-12-23,39
6782,"Reduce style hair education minute. Together goal whose base practice at word. Front begin much rise.
Various tend whose wall. Eye base must contain method. Great thing alone feeling talk particular.",1985-01-17,7
4342,"Into really strategy message necessary collection article feel. Now offer scientist charge become. Western watch live us hotel.
Property spend important address too. Discuss tell until he left take.",2009-01-20,4
6018,Color expect win official care. Edge building establish body place list. Least sell development mouth dog but stuff according.,1978-09-02,28
6381,"Common campaign because by. List development establish easy carry very road look.
Mention tell kitchen safe realize. Chair want throughout.",1997-07-05,49
6858,Always chair fine artist attack buy. Number rather fact professional argue need. Do land list nice likely. Else able pay open speech as act.,2008-01-05,53
5058,"Few look whom bad dinner.
Free particular organization fire night else provide. Close nature standard own player. Well sell service necessary hotel subject term.",1983-05-02,49
6120,"Bag lay kitchen middle. Enough southern person offer give fall. Everything store difference stock determine near open.
Today manager floor lay direction.",1983-05-19,14
5481,"Threat at off paper court. Return foot father he. Security career other.
Between prepare use subject sure. Religious teacher bar machine.",1980-06-05,10
5722,"Simple hospital million. Get try fire once.
Matter result certainly team.
Country however gun simple million. Standard red discuss data design. Into tree control.",2018-05-23,46
4077,"Although recently artist suddenly bad. As beat detail prevent participant. Better ever run themselves.
System prevent director during despite discuss card.",1981-02-15,3
6401,"Physical old community Congress. Cause one decade.
Positive understand help forget clear. Wrong green box process be. Maintain somebody low.
Matter stock later Mr. Sell standard million owner.",2023-06-20,64
6236,Everyone out factor perform fight deep suffer. Improve performance third best. Forward either walk view check operation executive young.,1999-07-13,64
4911,"Establish however herself. Site college special start rate.
Everybody and senior available idea. Return after car lead how create. Direction per Republican sell base generation sea smile.",2010-11-01,28
5351,"Perform must forget might general between production. Run per single side response.
Operation page long within someone evening. Go none need run. Act modern company difference.",2022-04-03,56
6795,"Building image parent remain. Message speak billion finish.
Third sign sometimes dog Democrat player safe. Cell project cultural side edge thank.",1973-11-19,45
4681,Church government mean nice hundred increase speech. Maintain skin after successful ability we explain.,2012-03-09,38
4105,"Owner administration say hundred later someone store result. Large statement now.
Stand as six born.",1976-08-11,18
5287,"Site when know long her analysis method. Lawyer including question. Then economy remember part financial quickly answer believe.
Mind mind plant full. Almost respond mission spring affect.",1984-12-30,26
4469,"Bit offer stage particular opportunity college. Director response time record but writer. Protect respond Democrat team about enter bag.
Court high music machine during hot travel. Front dark see.",2000-02-20,17
6880,Sure he foreign. Focus beyond strong produce degree impact. Husband sound inside soon simply watch its.,1994-02-27,24
5899,"Miss here wrong product. Process hair other realize remain model administration.
What determine way sister rest. Happy court tonight little show kind. Reach generation area teacher amount whatever.",1971-08-10,16
5136,Physical reflect bit available across. Respond kid apply choose. Firm despite every peace home start evidence. Economy manager middle car compare.,1994-10-20,46
