consumer_id,rates_id,service_type

6406,1,Installation of equipment
6452,2,Servicing
5947,3,Servicing
6545,4,Energy supply
6936,5,Repair
5066,6,Servicing
6520,7,Consulting
4632,8,Repair
4208,9,Installation of equipment
4711,10,Repair
5368,11,Energy supply
6453,12,Installation of equipment
4647,13,Servicing
4141,14,Consulting
4953,15,Installation of equipment
6155,16,Repair
4993,17,Consulting
4719,18,Energy supply
5024,19,Consulting
4657,20,Servicing
4521,21,Energy supply
5252,22,Repair
4847,23,Consulting
5595,24,Consulting
6417,25,Consulting
5060,26,Energy supply
5415,27,Repair
6748,28,Servicing
5240,29,Servicing
5759,30,Installation of equipment
5314,31,Repair
5329,32,Servicing
4571,33,Servicing
4391,34,Energy supply
5686,35,Energy supply
5015,36,Energy supply
4809,37,Installation of equipment
6392,38,Consulting
6886,39,Consulting
5511,40,Repair
5898,41,Installation of equipment
6339,42,Installation of equipment
5694,43,Installation of equipment
4371,44,Installation of equipment
6140,45,Installation of equipment
4281,46,Installation of equipment
5095,47,Repair
6230,48,Repair
5481,49,Consulting
4815,50,Consulting
5021,51,Energy supply
6342,52,Installation of equipment
5772,53,Energy supply
5165,54,Installation of equipment
4468,55,Energy supply
5339,56,Energy supply
4997,57,Installation of equipment
5683,58,Repair
5779,59,Installation of equipment
6710,60,Servicing
5867,61,Consulting
4243,62,Servicing
5597,63,Servicing
5446,64,Energy supply
4077,65,Consulting
5495,66,Consulting
5772,67,Servicing
5144,68,Energy supply
4575,69,Consulting
5250,70,Installation of equipment
4655,71,Installation of equipment
5527,72,Servicing
5698,73,Repair
4346,74,Consulting
4810,75,Consulting
6642,76,Repair
5501,77,Installation of equipment
6095,78,Repair
5299,79,Installation of equipment
6077,80,Repair
4177,81,Servicing
5069,82,Repair
5867,83,Servicing
5342,84,Servicing
6444,85,Energy supply
6726,86,Energy supply
5571,87,Consulting
6063,88,Consulting
5205,89,Repair
4473,90,Installation of equipment
6508,91,Installation of equipment
6879,92,Servicing
5781,93,Consulting
5440,94,Repair
4443,95,Repair
4197,96,Installation of equipment
4762,97,Repair
6077,98,Installation of equipment
4187,99,Consulting
6935,100,Servicing
4690,101,Consulting
5045,102,Installation of equipment
5271,103,Installation of equipment
4293,104,Repair
4040,105,Consulting
5761,106,Consulting
6830,107,Repair
4829,108,Energy supply
6018,109,Consulting
5586,110,Energy supply
4540,111,Energy supply
6300,112,Servicing
4345,113,Repair
6962,114,Energy supply
4870,115,Servicing
5141,116,Consulting
5943,117,Energy supply
6376,118,Energy supply
4515,119,Repair
6720,120,Installation of equipment
5875,121,Consulting
4625,122,Repair
4835,123,Repair
4318,124,Energy supply
6739,125,Consulting
6299,126,Energy supply
5211,127,Energy supply
4380,128,Servicing
4856,129,Repair
5689,130,Repair
5827,131,Repair
4174,132,Servicing
5490,133,Energy supply
6721,134,Servicing
4443,135,Installation of equipment
4979,136,Installation of equipment
5405,137,Energy supply
4390,138,Repair
6013,139,Consulting
4161,140,Energy supply
5323,141,Servicing
5167,142,Installation of equipment
5325,143,Installation of equipment
4170,144,Installation of equipment
5341,145,Installation of equipment
6110,146,Consulting
5282,147,Consulting
4296,148,Servicing
4699,149,Servicing
5314,150,Installation of equipment
4663,151,Installation of equipment
5119,152,Repair
4554,153,Servicing
4909,154,Servicing
6626,155,Installation of equipment
6460,156,Installation of equipment
4402,157,Installation of equipment
4935,158,Servicing
5693,159,Installation of equipment
