receipt_id,debt_amount,date_the_debt_began

7445,6178.3,1998-01-09
854,8984.2,1988-06-21
7082,18752.8,2016-11-24
829,11668.1,2004-09-04
4219,17152.9,1986-12-29
5846,980.8,1982-02-27
6731,14533.9,1972-12-16
688,16714.3,2001-02-22
4188,8584.9,2002-09-29
3822,11430.9,1993-09-13
6297,8817.1,2004-06-26
6928,3632.2,1975-07-25
3767,15884.3,1992-01-02
4420,14913.1,2018-11-11
1625,5759.7,1998-08-06
504,9163.4,1985-10-24
154,13852.5,2015-07-17
1885,16074.8,2012-03-17
3600,983.4,2023-05-17
7564,12858.3,1987-12-08
1496,9233.7,1989-12-06
2200,13085.8,1976-07-03
1753,18056.4,1989-04-30
2447,947.4,1981-11-01
2890,5569.2,2003-05-20
4735,17727.3,1978-08-30
7071,6282.2,2022-02-09
1552,2181.8,1996-01-23
3244,10383.5,1979-04-22
5035,3917.2,2021-06-21
7278,17972.2,1993-04-11
5642,4685.4,2000-10-01
1128,5610.4,2016-08-05
28,14060.7,1997-01-14
7989,11990.8,1972-03-05
6326,3086.8,1972-05-14
7280,8364.2,2018-07-20
3592,11402.0,2021-09-09
7841,19656.9,1983-08-23
1482,10808.2,1970-02-10
6725,7884.9,2014-03-15
2049,7757.1,1981-03-30
7273,13555.9,1997-01-31
4570,18259.5,1998-12-22
2865,10051.9,1972-03-28
7533,11624.6,1975-06-23
595,11993.1,1978-06-15
6337,7113.1,1988-11-05
3347,9147.0,1996-11-20
4679,12634.6,1992-12-13
5438,1662.6,2003-06-18
4697,18037.6,1989-08-22
5320,16728.0,2023-03-18
6619,13143.0,1977-09-02
708,17195.1,1997-03-30
3530,843.2,1978-03-17
7224,6187.5,1989-05-22
7107,18682.3,1990-04-06
4321,13365.2,2013-06-04
4201,1777.9,1970-12-07
1548,15140.5,2011-04-02
3552,12249.9,1995-12-16
4202,8669.5,1980-01-29
1571,17843.9,2022-09-17
7097,8647.4,1973-11-27
279,14301.0,1985-09-20
6175,7792.7,2011-07-09
4461,15579.7,2002-09-03
4776,13862.1,1987-11-14
2108,15386.1,2011-04-15
850,3465.6,1996-09-21
240,4991.2,2022-08-29
6449,18804.8,1996-03-24
3058,14209.2,1996-05-19
6710,13665.0,1998-09-20
5435,15868.1,1992-01-07
2120,9397.4,2013-02-08
5902,16037.0,2000-02-13
7266,7411.7,2019-12-31
6880,6327.0,1989-08-15
415,6687.0,2022-10-26
5021,13998.0,2023-05-31
6050,18737.5,1978-03-18
4899,5053.5,1997-03-22
98,13298.9,2018-02-19
6581,16527.7,2011-01-07
5833,3146.4,1971-08-30
2900,16398.9,1973-03-13
4802,3786.0,1976-02-24
458,4234.1,2011-09-30
2558,15414.8,1983-12-15
7799,13496.8,1986-07-13
5679,9842.5,2000-01-26
1380,14984.8,1983-04-27
6751,11981.2,2021-12-31
6784,10092.8,1989-01-03
7590,12308.6,2009-01-09
2924,2979.9,2012-10-27
5147,11364.6,1972-09-13
7096,8565.2,2005-03-22
7770,4640.1,1996-12-29
3813,15340.1,2021-06-16
5639,10364.6,2022-09-09
5395,15943.6,1993-12-13
2687,1806.0,2018-06-16
531,15115.5,2005-06-16
6964,16705.6,2012-07-26
4705,5729.6,1971-08-28
191,15581.1,2022-01-12
1854,3180.8,1998-06-23
2965,11659.3,2011-09-13
4964,14189.0,1987-07-31
3463,17708.5,1978-07-23
2864,3389.5,2018-01-17
5442,1518.1,2000-10-06
3988,14391.4,1999-02-13
478,12731.5,1978-04-21
948,15543.9,2000-04-16
7886,18033.4,2014-12-21
3092,14938.8,2002-03-25
6851,15327.9,2017-06-06
7396,13607.1,1976-06-05
7821,18943.1,1977-02-07
6990,11378.6,1995-04-27
568,3753.2,1984-08-21
2491,4829.7,1982-09-07
7428,5510.9,2021-05-05
429,5719.5,2020-04-12
2926,4217.6,2004-10-21
1931,5874.8,1989-10-12
2088,7536.7,1984-03-04
4731,17563.0,2006-06-19
2996,6839.1,2007-10-05
7116,3070.3,1974-05-09
2865,3722.9,1981-01-05
4382,11508.0,2002-07-03
4991,9218.5,2021-06-04
7304,2418.4,2010-01-11
35,10816.4,1995-05-03
621,11256.8,1990-05-05
3898,8997.5,2015-12-16
4056,17163.5,1977-03-26
7163,6382.0,1978-07-05
6739,17236.8,2002-04-02
436,19155.4,2005-02-18
4037,9925.7,1993-12-08
6120,15396.0,1976-10-04
5793,1721.1,2019-08-13
5495,14560.7,2018-01-31
3900,12195.3,1981-05-05
6998,15410.3,2019-06-08
6453,13086.3,2007-09-05
7140,1275.8,2020-07-28
2661,1768.4,1992-03-04
7988,7235.7,2009-04-17
5859,17793.6,1975-12-04
219,16637.6,1976-08-11
5429,11497.2,2021-06-04
345,1135.0,2020-06-22
1922,14064.1,2015-02-02
3517,6902.5,1985-08-03
