gas_meter_id,object_type

8000,Commercial object
7999,Commercial object
7998,Residential object
7997,Commercial object
7996,Commercial object
7995,Commercial object
7994,Commercial object
7993,Residential object
7992,Commercial object
7991,Residential object
7990,Residential object
7989,Residential object
7988,Residential object
7987,Residential object
7986,Residential object
7985,Commercial object
7984,Residential object
7983,Commercial object
7982,Commercial object
7981,Commercial object
7980,Residential object
7979,Residential object
7978,Commercial object
7977,Residential object
7976,Residential object
7975,Commercial object
7974,Residential object
7973,Residential object
7972,Commercial object
7971,Residential object
7970,Commercial object
7969,Commercial object
7968,Commercial object
7967,Commercial object
7966,Commercial object
7965,Residential object
7964,Residential object
7963,Residential object
7962,Residential object
7961,Commercial object
7960,Commercial object
7959,Residential object
7958,Residential object
7957,Commercial object
7956,Commercial object
7955,Commercial object
7954,Residential object
7953,Residential object
7952,Commercial object
7951,Commercial object
7950,Commercial object
7949,Residential object
7948,Residential object
7947,Residential object
7946,Commercial object
7945,Commercial object
7944,Commercial object
7943,Commercial object
7942,Commercial object
7941,Residential object
7940,Residential object
7939,Residential object
7938,Commercial object
7937,Residential object
7936,Commercial object
7935,Commercial object
7934,Commercial object
7933,Residential object
7932,Residential object
7931,Commercial object
7930,Residential object
7929,Residential object
7928,Commercial object
7927,Residential object
7926,Commercial object
7925,Commercial object
7924,Residential object
7923,Residential object
7922,Commercial object
7921,Residential object
7920,Commercial object
7919,Residential object
7918,Commercial object
7917,Residential object
7916,Residential object
7915,Residential object
7914,Commercial object
7913,Residential object
7912,Commercial object
7911,Commercial object
7910,Residential object
7909,Commercial object
7908,Residential object
7907,Residential object
7906,Commercial object
7905,Commercial object
7904,Commercial object
7903,Commercial object
7902,Commercial object
7901,Commercial object
7900,Residential object
7899,Residential object
7898,Residential object
7897,Commercial object
7896,Commercial object
7895,Commercial object
7894,Commercial object
7893,Commercial object
7892,Commercial object
7891,Residential object
7890,Commercial object
7889,Commercial object
7888,Commercial object
7887,Commercial object
7886,Commercial object
7885,Commercial object
7884,Residential object
7883,Commercial object
7882,Commercial object
7881,Commercial object
7880,Commercial object
7879,Commercial object
7878,Commercial object
7877,Residential object
7876,Commercial object
7875,Residential object
7874,Commercial object
7873,Residential object
7872,Commercial object
7871,Commercial object
7870,Residential object
7869,Residential object
7868,Residential object
7867,Residential object
7866,Residential object
7865,Commercial object
7864,Commercial object
7863,Commercial object
7862,Commercial object
7861,Residential object
7860,Commercial object
7859,Residential object
7858,Residential object
7857,Residential object
7856,Residential object
7855,Residential object
7854,Residential object
7853,Residential object
7852,Commercial object
7851,Residential object
7850,Residential object
7849,Residential object
7848,Commercial object
7847,Commercial object
7846,Residential object
7845,Commercial object
7844,Commercial object
7843,Commercial object
7842,Commercial object
7841,Commercial object
7840,Commercial object
7839,Residential object
7838,Commercial object
7837,Residential object
7836,Residential object
7835,Commercial object
7834,Residential object
7833,Residential object
7832,Commercial object
7831,Residential object
7830,Commercial object
7829,Commercial object
7828,Commercial object
7827,Residential object
7826,Residential object
7825,Commercial object
7824,Residential object
7823,Residential object
7822,Commercial object
7821,Residential object
7820,Residential object
7819,Commercial object
7818,Commercial object
7817,Residential object
7816,Commercial object
7815,Residential object
7814,Commercial object
7813,Residential object
7812,Residential object
7811,Commercial object
7810,Commercial object
7809,Commercial object
7808,Residential object
7807,Commercial object
7806,Commercial object
7805,Commercial object
7804,Residential object
7803,Residential object
7802,Residential object
7801,Residential object
7800,Commercial object
7799,Residential object
7798,Residential object
7797,Residential object
7796,Commercial object
7795,Residential object
7794,Residential object
7793,Commercial object
7792,Residential object
7791,Commercial object
7790,Residential object
7789,Commercial object
7788,Commercial object
7787,Residential object
7786,Commercial object
7785,Commercial object
7784,Commercial object
7783,Commercial object
7782,Commercial object
7781,Residential object
7780,Commercial object
7779,Commercial object
7778,Residential object
7777,Residential object
7776,Commercial object
7775,Commercial object
7774,Commercial object
7773,Commercial object
7772,Commercial object
7771,Commercial object
7770,Residential object
7769,Residential object
7768,Residential object
7767,Residential object
7766,Commercial object
7765,Commercial object
7764,Commercial object
7763,Commercial object
7762,Commercial object
7761,Residential object
7760,Residential object
7759,Commercial object
7758,Commercial object
7757,Residential object
7756,Residential object
7755,Commercial object
7754,Commercial object
7753,Residential object
7752,Commercial object
7751,Commercial object
7750,Commercial object
7749,Commercial object
7748,Residential object
7747,Commercial object
7746,Commercial object
7745,Commercial object
7744,Commercial object
7743,Residential object
7742,Residential object
7741,Commercial object
7740,Residential object
7739,Residential object
7738,Commercial object
7737,Commercial object
7736,Commercial object
7735,Commercial object
7734,Residential object
7733,Commercial object
7732,Residential object
7731,Residential object
7730,Commercial object
7729,Commercial object
7728,Commercial object
7727,Residential object
7726,Commercial object
7725,Residential object
7724,Residential object
7723,Commercial object
7722,Commercial object
7721,Residential object
7720,Residential object
7719,Residential object
7718,Residential object
7717,Commercial object
7716,Residential object
7715,Residential object
7714,Residential object
7713,Commercial object
7712,Residential object
7711,Commercial object
7710,Commercial object
7709,Commercial object
7708,Residential object
7707,Residential object
7706,Residential object
7705,Commercial object
7704,Residential object
7703,Commercial object
7702,Residential object
7701,Commercial object
7700,Residential object
7699,Residential object
7698,Commercial object
7697,Commercial object
7696,Commercial object
7695,Commercial object
7694,Residential object
7693,Commercial object
7692,Commercial object
7691,Residential object
7690,Commercial object
7689,Residential object
7688,Commercial object
7687,Commercial object
7686,Residential object
7685,Residential object
7684,Commercial object
7683,Residential object
7682,Commercial object
7681,Residential object
7680,Residential object
7679,Commercial object
7678,Residential object
7677,Commercial object
7676,Commercial object
7675,Residential object
7674,Residential object
7673,Residential object
7672,Residential object
7671,Commercial object
7670,Commercial object
7669,Commercial object
7668,Commercial object
7667,Commercial object
7666,Residential object
7665,Commercial object
7664,Residential object
7663,Residential object
7662,Residential object
7661,Commercial object
7660,Residential object
7659,Commercial object
7658,Commercial object
7657,Residential object
7656,Commercial object
7655,Residential object
7654,Residential object
7653,Residential object
7652,Residential object
7651,Commercial object
7650,Residential object
7649,Commercial object
7648,Commercial object
7647,Commercial object
7646,Commercial object
7645,Commercial object
7644,Residential object
7643,Residential object
7642,Residential object
7641,Residential object
7640,Residential object
7639,Commercial object
7638,Residential object
7637,Commercial object
7636,Residential object
7635,Residential object
7634,Commercial object
7633,Commercial object
7632,Commercial object
7631,Commercial object
7630,Commercial object
7629,Commercial object
7628,Commercial object
7627,Commercial object
7626,Residential object
7625,Commercial object
7624,Commercial object
7623,Commercial object
7622,Residential object
7621,Residential object
7620,Residential object
7619,Residential object
7618,Residential object
7617,Residential object
7616,Residential object
7615,Residential object
7614,Residential object
7613,Residential object
7612,Commercial object
7611,Commercial object
7610,Commercial object
7609,Residential object
7608,Residential object
7607,Residential object
7606,Residential object
7605,Residential object
7604,Residential object
7603,Commercial object
7602,Commercial object
7601,Residential object
7600,Residential object
7599,Commercial object
7598,Residential object
7597,Commercial object
7596,Residential object
7595,Commercial object
7594,Commercial object
7593,Residential object
7592,Residential object
7591,Residential object
7590,Commercial object
7589,Residential object
7588,Residential object
7587,Residential object
7586,Commercial object
7585,Residential object
7584,Commercial object
7583,Residential object
7582,Commercial object
7581,Residential object
7580,Commercial object
7579,Residential object
7578,Residential object
7577,Residential object
7576,Commercial object
7575,Commercial object
7574,Commercial object
7573,Commercial object
7572,Commercial object
7571,Commercial object
7570,Commercial object
7569,Residential object
7568,Commercial object
7567,Commercial object
7566,Commercial object
7565,Commercial object
7564,Residential object
7563,Residential object
7562,Residential object
7561,Residential object
7560,Commercial object
7559,Commercial object
7558,Commercial object
7557,Commercial object
7556,Commercial object
7555,Commercial object
7554,Residential object
7553,Commercial object
7552,Commercial object
7551,Commercial object
7550,Commercial object
7549,Residential object
7548,Residential object
7547,Residential object
7546,Commercial object
7545,Residential object
7544,Residential object
7543,Commercial object
7542,Residential object
7541,Commercial object
7540,Residential object
7539,Residential object
7538,Residential object
7537,Residential object
7536,Commercial object
7535,Commercial object
7534,Commercial object
7533,Residential object
7532,Residential object
7531,Residential object
7530,Commercial object
7529,Commercial object
7528,Commercial object
7527,Residential object
7526,Commercial object
7525,Residential object
7524,Commercial object
7523,Commercial object
7522,Commercial object
7521,Commercial object
7520,Residential object
7519,Residential object
7518,Residential object
7517,Commercial object
7516,Commercial object
7515,Commercial object
7514,Commercial object
7513,Commercial object
7512,Commercial object
7511,Commercial object
7510,Residential object
7509,Residential object
7508,Commercial object
7507,Residential object
7506,Residential object
7505,Residential object
7504,Residential object
7503,Residential object
7502,Commercial object
7501,Commercial object
7500,Residential object
7499,Residential object
7498,Residential object
7497,Commercial object
7496,Residential object
7495,Residential object
7494,Commercial object
7493,Commercial object
7492,Residential object
7491,Commercial object
7490,Commercial object
7489,Commercial object
7488,Commercial object
7487,Commercial object
7486,Commercial object
7485,Residential object
7484,Commercial object
7483,Commercial object
7482,Residential object
7481,Residential object
7480,Commercial object
7479,Commercial object
7478,Residential object
7477,Residential object
7476,Residential object
7475,Commercial object
7474,Residential object
7473,Residential object
7472,Residential object
7471,Commercial object
7470,Residential object
7469,Residential object
7468,Residential object
7467,Residential object
7466,Commercial object
7465,Residential object
7464,Commercial object
7463,Commercial object
7462,Residential object
7461,Residential object
7460,Commercial object
7459,Residential object
7458,Residential object
7457,Residential object
7456,Commercial object
7455,Residential object
7454,Residential object
7453,Commercial object
7452,Commercial object
7451,Residential object
7450,Residential object
7449,Residential object
7448,Residential object
7447,Residential object
7446,Residential object
7445,Residential object
7444,Commercial object
7443,Commercial object
7442,Commercial object
7441,Commercial object
7440,Commercial object
7439,Commercial object
7438,Commercial object
7437,Commercial object
7436,Residential object
7435,Residential object
7434,Residential object
7433,Residential object
7432,Residential object
7431,Residential object
7430,Commercial object
7429,Residential object
7428,Commercial object
7427,Residential object
7426,Commercial object
7425,Commercial object
7424,Residential object
7423,Commercial object
7422,Commercial object
7421,Residential object
7420,Commercial object
7419,Commercial object
7418,Residential object
7417,Commercial object
7416,Residential object
7415,Commercial object
7414,Commercial object
7413,Residential object
7412,Commercial object
7411,Residential object
7410,Residential object
7409,Commercial object
7408,Commercial object
7407,Commercial object
7406,Residential object
7405,Commercial object
7404,Commercial object
7403,Commercial object
7402,Commercial object
7401,Residential object
7400,Residential object
7399,Residential object
7398,Residential object
7397,Residential object
7396,Residential object
7395,Commercial object
7394,Commercial object
7393,Residential object
7392,Commercial object
7391,Commercial object
7390,Residential object
7389,Commercial object
7388,Residential object
7387,Residential object
7386,Commercial object
7385,Residential object
7384,Commercial object
7383,Commercial object
7382,Commercial object
7381,Residential object
7380,Commercial object
7379,Residential object
7378,Commercial object
7377,Commercial object
7376,Residential object
7375,Residential object
7374,Residential object
7373,Commercial object
7372,Commercial object
7371,Commercial object
7370,Residential object
7369,Residential object
7368,Residential object
7367,Residential object
7366,Residential object
7365,Residential object
7364,Residential object
7363,Residential object
7362,Commercial object
7361,Residential object
7360,Commercial object
7359,Commercial object
7358,Residential object
7357,Residential object
7356,Residential object
7355,Residential object
7354,Residential object
7353,Residential object
7352,Residential object
7351,Residential object
7350,Residential object
7349,Residential object
7348,Residential object
7347,Residential object
7346,Residential object
7345,Residential object
7344,Residential object
7343,Residential object
7342,Commercial object
7341,Residential object
7340,Commercial object
7339,Residential object
7338,Residential object
7337,Commercial object
7336,Commercial object
7335,Residential object
7334,Commercial object
7333,Residential object
7332,Commercial object
7331,Commercial object
7330,Residential object
7329,Commercial object
7328,Commercial object
7327,Residential object
7326,Residential object
7325,Residential object
7324,Commercial object
7323,Residential object
7322,Residential object
7321,Residential object
7320,Residential object
7319,Commercial object
7318,Commercial object
7317,Residential object
7316,Commercial object
7315,Residential object
7314,Residential object
7313,Residential object
7312,Commercial object
7311,Residential object
7310,Residential object
7309,Commercial object
7308,Commercial object
7307,Residential object
7306,Commercial object
7305,Residential object
7304,Commercial object
7303,Residential object
7302,Commercial object
7301,Residential object
7300,Residential object
7299,Commercial object
7298,Commercial object
7297,Commercial object
7296,Residential object
7295,Residential object
7294,Residential object
7293,Residential object
7292,Commercial object
7291,Residential object
7290,Residential object
7289,Residential object
7288,Residential object
7287,Residential object
7286,Commercial object
7285,Commercial object
7284,Residential object
7283,Residential object
7282,Commercial object
7281,Residential object
7280,Commercial object
7279,Residential object
7278,Residential object
7277,Residential object
7276,Commercial object
7275,Residential object
7274,Commercial object
7273,Residential object
7272,Residential object
7271,Residential object
7270,Commercial object
7269,Residential object
7268,Commercial object
7267,Residential object
7266,Residential object
7265,Residential object
7264,Commercial object
7263,Commercial object
7262,Commercial object
7261,Residential object
7260,Commercial object
7259,Commercial object
7258,Commercial object
7257,Commercial object
7256,Residential object
7255,Residential object
7254,Residential object
7253,Residential object
7252,Commercial object
7251,Commercial object
7250,Commercial object
7249,Residential object
7248,Commercial object
7247,Residential object
7246,Residential object
7245,Commercial object
7244,Residential object
7243,Residential object
7242,Commercial object
7241,Residential object
7240,Residential object
7239,Commercial object
7238,Residential object
7237,Commercial object
7236,Commercial object
7235,Commercial object
7234,Commercial object
7233,Residential object
7232,Commercial object
7231,Commercial object
7230,Residential object
7229,Residential object
7228,Residential object
7227,Residential object
7226,Residential object
7225,Commercial object
7224,Residential object
7223,Commercial object
7222,Commercial object
7221,Commercial object
7220,Commercial object
7219,Residential object
7218,Commercial object
7217,Residential object
7216,Residential object
7215,Commercial object
7214,Residential object
7213,Commercial object
7212,Commercial object
7211,Residential object
