consultant_id,consumer_id,utility_id,consumption_volume,sum

3384,4398,5743,5096.17,18197.07
5104,4889,4555,7409.14,40213.87
1330,6696,2715,5410.48,27752.47
883,5732,6327,5046.77,72690.22
4689,6593,6719,5535.04,54652.2
5104,5515,615,842.05,14989.23
1059,6072,3779,7503.29,60015.22
518,5384,3151,295.47,64557.14
242,6707,4413,8746.1,46254.2
5026,5219,3621,2636.32,19184.25
4799,5362,5706,1184.42,57042.79
3100,5732,6024,5312.68,68461.0
4952,4923,2836,2058.44,60593.86
468,6342,6714,8417.28,32566.61
5966,6649,6910,4046.19,46640.38
4485,4917,6108,219.94,3134.06
3337,6522,6062,9186.11,17153.88
297,6081,3773,9915.32,68368.2
2598,4894,422,120.82,70123.01
3547,6156,2491,6534.99,79491.63
4589,4837,5508,8430.09,8171.66
4237,6647,3693,8827.58,10293.78
2018,6928,2218,5549.32,3856.26
4360,4948,3846,5282.25,8553.67
1585,4449,2711,5996.29,66839.39
4114,5439,4557,1890.96,54244.83
4869,5146,5782,3459.7,29848.47
1909,5502,3300,9639.42,79200.72
5725,6080,6124,2467.42,60371.99
675,6126,172,1145.55,45786.74
5882,6829,442,6489.39,837.02
5164,5957,6836,1270.24,11618.36
4146,6759,3018,5250.97,17736.67
712,6125,4569,2921.35,31466.95
829,6418,972,8515.59,8818.44
2608,5857,1762,1434.27,38347.41
5589,6096,2619,1312.3,9276.03
5606,4545,6171,1866.07,30576.58
4262,5099,414,541.63,79201.11
5738,6515,5232,2078.98,75018.25
657,6741,1441,7309.32,24728.7
4559,6622,3780,1111.85,9369.49
4184,6468,828,9329.36,16759.52
5984,5468,5541,6328.59,53126.06
844,5418,712,4874.83,71615.79
4376,6679,2137,9228.28,74244.56
3287,7000,3505,5633.17,78748.33
2298,4462,1364,7030.75,13224.01
1412,4532,6734,987.64,58376.78
217,4489,3553,9284.42,55726.07
4869,6613,329,1580.61,62532.42
2760,6612,1163,1594.54,56130.75
2836,4077,172,9445.19,60681.73
5344,5277,1301,7167.79,9806.98
4449,5433,1100,9627.43,38476.56
1261,6405,907,2689.28,34765.12
2009,4671,227,6654.44,44258.41
1503,6892,2621,5006.0,4002.94
1010,5727,6898,2307.17,38672.61
701,4916,2372,7990.59,40289.55
2380,6057,5044,3494.44,62303.54
314,5364,5138,1021.07,66786.97
3873,5049,4533,7693.49,2903.21
4547,6266,6335,7976.04,21293.13
2192,5713,5351,2883.6,54877.41
4275,6914,227,8445.4,26979.15
6,5938,1413,7665.29,78473.54
2487,5234,6514,769.37,76854.44
1752,4514,3069,9328.83,41311.59
3333,5402,4482,9778.27,40178.18
742,6997,5205,5929.58,41045.86
5161,6005,2136,1227.24,18005.59
750,6766,3752,6044.41,18183.77
4270,4970,5591,3679.85,23599.35
4240,6015,4190,6897.94,23028.23
2956,4526,2425,8871.72,69916.7
2200,6593,2451,7963.55,38131.27
1778,4223,2214,8642.4,52667.37
3,6007,3880,964.46,16154.81
1302,4425,2453,6849.98,3208.0
3140,5135,761,7985.46,46693.13
4464,5828,6732,2030.45,76487.67
5631,5608,1141,8665.51,10224.81
3897,6603,935,6271.17,15183.93
582,6045,810,8406.81,7852.97
5987,4103,5051,6948.93,65246.65
161,6259,761,7711.41,52782.69
1721,5110,1868,1232.42,74867.34
1326,5690,750,6220.49,40548.23
3733,5246,5133,1352.35,75830.78
134,6076,6993,7633.49,48784.67
2688,4627,1983,9920.6,70441.98
875,6501,4055,8013.32,41244.0
3831,4372,691,5724.85,25271.94
1202,4830,2735,2657.96,43596.27
4527,6167,6604,938.92,33425.97
4659,4924,2308,9823.04,75961.69
1557,6062,994,7527.32,55064.79
5974,5686,932,7550.5,5196.91
1471,6215,3535,3123.8,74466.79
235,6793,2888,7135.14,8307.55
16,5993,1724,7693.2,31817.95
511,5969,4639,9558.8,7003.87
5999,4149,4729,892.69,12922.06
1224,6021,1871,6170.14,23353.52
72,6688,1451,5917.05,60176.9
4931,4540,2664,6174.82,23345.56
3887,4003,5355,3010.19,31939.03
196,5376,3994,8445.19,39757.35
112,5459,6427,4752.44,13957.5
2215,6923,2267,9953.78,71502.73
4930,5638,5272,4139.65,68517.15
4263,5570,3285,6079.84,57139.39
1719,4246,3232,3488.41,50465.94
1268,5059,1227,7345.39,69271.76
4797,6347,2139,3711.21,76135.41
2310,5233,6045,3893.19,52854.9
3633,4799,3851,4337.95,40187.57
4828,6550,1798,4953.97,64873.03
4508,6198,6397,5396.74,41008.17
1486,5370,3394,1399.97,71758.64
3236,4529,4750,5928.53,21276.61
5537,5819,4452,519.37,71037.95
396,4229,6972,2618.64,73190.92
1797,5131,3408,3116.86,60743.07
2682,4218,4795,4776.79,12270.85
4985,4317,3201,3827.77,2636.52
3232,5178,5862,5471.23,32372.79
5856,6056,2830,496.91,23088.71
2601,4785,4850,9244.53,32635.74
3914,5438,6315,4455.24,8661.82
4451,5263,2952,5767.85,9686.09
5265,6422,6615,5763.24,29715.68
5956,4077,6681,9792.76,64199.84
5840,5809,1810,2129.2,36806.75
2239,4043,321,1500.27,59243.89
5559,5218,5321,5011.01,2587.91
5182,5839,5977,8465.03,3840.4
869,5460,7000,2550.95,25413.12
4947,4521,1815,1715.92,2399.08
5577,4355,2551,122.47,78878.89
613,5558,323,5346.41,77174.43
125,4578,3774,3344.95,25297.99
2115,5536,4810,2676.57,53120.34
1170,6687,655,9982.48,50346.2
3960,4565,3462,3100.56,33687.81
592,4552,5158,9559.74,31647.15
4697,6148,4777,8272.35,3040.47
1757,4547,3206,490.66,56229.54
411,6185,3911,1165.36,9702.25
4047,5916,4659,1512.84,10050.26
3996,6991,359,8181.0,75971.13
3990,6569,4047,1276.0,9099.03
1518,5442,1402,5762.9,77724.52
4310,6661,6156,5475.34,10023.14
425,4858,5398,3675.92,21392.25
4807,4287,2176,7120.41,39705.65
1258,6852,803,4634.28,66278.38
4690,5432,1945,5373.2,29015.4
549,4082,1566,2951.39,72571.1
5433,6422,740,5689.05,4051.94
3111,6114,2584,3800.87,40263.26
1,5344,3353,5304.44,34238.1
1599,4386,253,3204.44,18967.44
5174,5447,2384,1936.42,19872.19
481,6083,4445,9926.34,2241.38
1305,5669,2984,1015.85,78324.69
2057,4954,6576,2658.06,77274.8
4466,4934,6783,9497.98,9066.14
3134,4441,3228,5843.09,5388.1
