services_id,rate_amount,service_type,rate_name,rate_category

2799,79.3,Servicing,Drainage,Tariffs for industry
1050,80.8,Consulting,Heating,Tariffs for industry
1946,79.4,Consulting,Drainage,Preferential tariffs
1504,66.3,Consulting,Gas supply,Combined tariffs
1148,75.3,Servicing,Gas supply,Discounted rates
1571,69.0,Consulting,Drainage,Standard tariffs
1122,95.9,Repair,Gas supply,Tariffs for industry
465,93.0,Installation of equipment,Heating,Tariffs for industry
3225,73.9,Servicing,Heating,Combined tariffs
2176,97.8,Energy supply,Electricity supply,Standard tariffs
2284,76.5,Repair,Electricity supply,Preferential tariffs
1784,61.2,Installation of equipment,Water supply,Preferential tariffs
3330,65.9,Installation of equipment,Drainage,Standard tariffs
993,64.3,Repair,Drainage,Preferential tariffs
1947,96.6,Servicing,Water supply,Combined tariffs
2230,98.4,Energy supply,Gas supply,Preferential tariffs
1755,86.3,Servicing,Heating,Tariffs for industry
546,72.7,Energy supply,Gas supply,Tariffs for industry
1237,74.1,Servicing,Water supply,Individual tariffs
1109,90.0,Consulting,Heating,Individual tariffs
2588,95.1,Servicing,Heating,Individual tariffs
3736,61.3,Consulting,Gas supply,Tariffs for industry
718,55.6,Energy supply,Heating,Tariffs for industry
2261,92.0,Installation of equipment,Electricity supply,Individual tariffs
1885,94.4,Installation of equipment,Gas supply,Standard tariffs
3091,66.9,Consulting,Electricity supply,Discounted rates
2525,54.9,Energy supply,Water supply,Preferential tariffs
3727,69.5,Energy supply,Gas supply,Economy tariffs
3755,82.3,Repair,Electricity supply,Standard tariffs
3567,56.3,Energy supply,Gas supply,Individual tariffs
3393,61.7,Servicing,Electricity supply,Discounted rates
3952,68.7,Repair,Water supply,Discounted rates
644,57.1,Energy supply,Water supply,Tariffs for industry
831,51.0,Repair,Heating,Discounted rates
3738,59.3,Consulting,Electricity supply,Discounted rates
1989,97.7,Servicing,Water supply,Economy tariffs
2388,63.3,Installation of equipment,Drainage,Standard tariffs
3278,86.8,Servicing,Water supply,Tariffs for industry
1659,61.7,Servicing,Heating,Preferential tariffs
3949,93.9,Consulting,Electricity supply,Standard tariffs
549,79.7,Servicing,Water supply,Individual tariffs
2659,99.1,Energy supply,Heating,Discounted rates
1931,96.3,Installation of equipment,Water supply,Economy tariffs
1421,82.3,Installation of equipment,Electricity supply,Economy tariffs
1597,57.4,Repair,Heating,Combined tariffs
1193,74.4,Servicing,Heating,Tariffs for industry
3801,58.8,Servicing,Water supply,Economy tariffs
2847,65.3,Servicing,Electricity supply,Economy tariffs
3174,75.3,Servicing,Drainage,Economy tariffs
2851,83.6,Energy supply,Water supply,Discounted rates
2746,71.4,Energy supply,Water supply,Discounted rates
2151,90.5,Repair,Drainage,Preferential tariffs
940,78.4,Installation of equipment,Heating,Combined tariffs
2382,95.1,Installation of equipment,Electricity supply,Discounted rates
2261,79.5,Repair,Electricity supply,Discounted rates
2804,99.8,Consulting,Water supply,Tariffs for industry
2452,55.1,Consulting,Gas supply,Discounted rates
1957,56.5,Servicing,Gas supply,Standard tariffs
2904,72.9,Consulting,Electricity supply,Economy tariffs
1921,90.4,Energy supply,Gas supply,Individual tariffs
3479,80.0,Installation of equipment,Drainage,Combined tariffs
359,88.2,Repair,Gas supply,Combined tariffs
370,73.8,Repair,Water supply,Discounted rates
3764,86.8,Consulting,Water supply,Economy tariffs
427,73.3,Installation of equipment,Electricity supply,Tariffs for industry
475,51.0,Energy supply,Heating,Preferential tariffs
2630,56.1,Servicing,Gas supply,Preferential tariffs
3194,88.9,Consulting,Electricity supply,Combined tariffs
2941,53.8,Consulting,Electricity supply,Individual tariffs
2423,69.7,Repair,Gas supply,Preferential tariffs
506,95.6,Repair,Electricity supply,Discounted rates
1688,60.6,Energy supply,Electricity supply,Preferential tariffs
2918,65.7,Repair,Water supply,Individual tariffs
351,86.3,Consulting,Gas supply,Discounted rates
800,65.0,Consulting,Water supply,Standard tariffs
238,55.9,Energy supply,Electricity supply,Discounted rates
2963,88.9,Installation of equipment,Gas supply,Combined tariffs
3732,69.9,Repair,Heating,Individual tariffs
1243,58.1,Installation of equipment,Electricity supply,Standard tariffs
1563,78.6,Servicing,Drainage,Combined tariffs
2000,65.7,Installation of equipment,Heating,Tariffs for industry
2060,82.2,Energy supply,Heating,Individual tariffs
2656,88.2,Servicing,Drainage,Individual tariffs
3019,99.8,Energy supply,Gas supply,Economy tariffs
3690,58.7,Servicing,Water supply,Discounted rates
1097,57.1,Repair,Drainage,Combined tariffs
271,66.1,Energy supply,Electricity supply,Individual tariffs
921,78.4,Energy supply,Water supply,Tariffs for industry
1855,69.5,Installation of equipment,Gas supply,Individual tariffs
3535,56.2,Installation of equipment,Gas supply,Economy tariffs
1282,68.2,Servicing,Water supply,Tariffs for industry
1410,57.3,Servicing,Heating,Preferential tariffs
3921,97.6,Energy supply,Water supply,Combined tariffs
3396,78.9,Repair,Water supply,Combined tariffs
3391,63.0,Energy supply,Water supply,Combined tariffs
3178,87.0,Energy supply,Electricity supply,Standard tariffs
281,73.7,Installation of equipment,Gas supply,Combined tariffs
1726,78.1,Servicing,Gas supply,Tariffs for industry
208,96.9,Repair,Water supply,Individual tariffs
3211,78.7,Energy supply,Gas supply,Combined tariffs
191,89.9,Consulting,Heating,Tariffs for industry
3306,52.8,Energy supply,Gas supply,Economy tariffs
841,60.1,Energy supply,Heating,Discounted rates
1469,50.6,Consulting,Gas supply,Economy tariffs
1473,90.1,Consulting,Electricity supply,Economy tariffs
2487,99.0,Consulting,Gas supply,Individual tariffs
3848,50.6,Repair,Gas supply,Tariffs for industry
3785,94.8,Installation of equipment,Gas supply,Standard tariffs
343,94.3,Servicing,Gas supply,Economy tariffs
1082,87.4,Energy supply,Heating,Economy tariffs
303,86.5,Energy supply,Heating,Individual tariffs
1410,50.0,Servicing,Heating,Economy tariffs
3415,79.4,Servicing,Drainage,Standard tariffs
1244,64.4,Installation of equipment,Gas supply,Preferential tariffs
2270,85.4,Energy supply,Heating,Discounted rates
505,99.1,Installation of equipment,Heating,Standard tariffs
868,60.9,Energy supply,Gas supply,Individual tariffs
117,96.0,Repair,Gas supply,Preferential tariffs
3477,86.8,Consulting,Electricity supply,Economy tariffs
3134,52.7,Energy supply,Drainage,Tariffs for industry
3348,94.3,Installation of equipment,Electricity supply,Preferential tariffs
2332,62.4,Servicing,Gas supply,Tariffs for industry
2302,55.4,Repair,Electricity supply,Tariffs for industry
3759,86.9,Energy supply,Drainage,Standard tariffs
96,85.3,Energy supply,Gas supply,Individual tariffs
242,87.5,Energy supply,Gas supply,Individual tariffs
3878,69.5,Repair,Water supply,Preferential tariffs
516,82.5,Repair,Heating,Standard tariffs
3193,70.6,Installation of equipment,Heating,Combined tariffs
1189,63.9,Servicing,Drainage,Combined tariffs
1821,50.6,Consulting,Electricity supply,Individual tariffs
3685,75.8,Repair,Heating,Discounted rates
111,98.6,Installation of equipment,Electricity supply,Preferential tariffs
3623,69.1,Servicing,Heating,Combined tariffs
1158,99.7,Repair,Electricity supply,Individual tariffs
2146,66.8,Repair,Drainage,Standard tariffs
2787,82.2,Energy supply,Electricity supply,Individual tariffs
2904,94.8,Servicing,Gas supply,Standard tariffs
1886,80.9,Servicing,Electricity supply,Tariffs for industry
3419,75.9,Repair,Water supply,Discounted rates
2596,84.2,Energy supply,Water supply,Tariffs for industry
122,91.9,Installation of equipment,Drainage,Discounted rates
3186,98.8,Repair,Gas supply,Tariffs for industry
1886,60.9,Repair,Electricity supply,Individual tariffs
2115,82.6,Energy supply,Water supply,Economy tariffs
3641,52.5,Consulting,Gas supply,Standard tariffs
3165,67.7,Installation of equipment,Electricity supply,Preferential tariffs
3293,62.1,Energy supply,Gas supply,Tariffs for industry
2163,83.7,Consulting,Water supply,Combined tariffs
25,69.0,Energy supply,Electricity supply,Standard tariffs
2616,69.7,Repair,Drainage,Standard tariffs
3340,84.1,Repair,Electricity supply,Tariffs for industry
3305,58.3,Servicing,Water supply,Standard tariffs
1171,88.4,Energy supply,Electricity supply,Economy tariffs
