object_id,creation_date,payment_term,total,consumer_id,consultant_id

1,2017-04-19,2018-09-12,9051.3,6147,3431
2,1971-06-09,2013-05-15,9096.2,6053,1672
3,1971-10-18,2013-01-05,3422.8,6977,2773
4,1979-12-20,2008-03-07,7479.0,4934,3814
5,1997-10-10,2011-07-24,5456.6,5232,4917
6,1997-11-23,2003-06-17,7047.5,4291,2481
7,1983-11-23,2018-08-26,9233.9,6847,4417
8,1989-12-11,2005-07-18,5286.2,6810,3559
9,1988-12-28,2015-08-07,3087.8,5891,2590
10,2001-06-20,2006-03-01,6546.1,4941,4980
11,1988-04-24,1993-08-31,9445.6,4994,4141
12,1972-02-25,1974-03-24,2318.8,5352,3052
13,1983-12-11,1996-05-27,3802.1,4298,2003
14,1976-07-20,1977-12-20,5614.2,5275,754
15,1970-03-28,2012-10-12,7533.1,5007,3575
16,2008-01-09,2009-11-23,4440.2,6886,4709
17,1980-05-28,2010-09-27,1791.2,5289,4640
18,1971-09-25,2017-02-18,7183.1,5681,58
19,1975-01-05,2007-08-06,5827.1,6270,1409
20,1979-11-01,1980-11-13,1731.2,5135,5770
21,1974-08-10,2020-02-25,4750.6,5247,1685
22,1971-12-09,1973-11-17,6823.0,4974,3845
23,1986-08-24,2006-12-27,1831.0,4638,5738
24,1973-09-11,2009-08-25,510.1,6189,1261
25,1981-04-27,2010-09-27,1060.7,5954,4423
26,1990-06-22,1998-05-17,9250.6,6878,5323
27,1986-02-18,2006-07-24,2826.8,6839,1578
28,1971-12-02,2008-08-24,8078.8,6728,3354
29,1985-01-11,2021-09-19,9046.7,5108,5908
30,1990-09-15,2022-10-11,7969.7,6170,5692
31,1986-03-28,2017-08-09,8221.3,5706,3273
32,1973-01-16,1991-11-07,5001.1,4617,126
33,1993-08-15,1993-10-17,8609.3,4732,1129
34,1998-11-13,1998-12-12,3026.8,6888,3392
35,1994-06-14,2023-02-25,9255.1,4675,5302
36,2002-12-02,2017-06-25,9484.5,6572,2014
37,1973-03-21,1983-09-05,6869.7,4189,3144
38,1970-03-11,1999-05-10,1017.6,6207,592
39,1990-11-17,2004-12-09,6263.7,5390,2368
40,1986-03-30,1994-07-02,5993.2,4148,1485
