service_type_id,service_name,utility_company_id

47,Repair and replacement of the heating system in residential premises,5779
2365,Provision of district heating services for apartment buildings,3986
1518,Provision of district heating services for apartment buildings,2069
2958,Supply of drinking water for residents and businesses,4396
1286,Installation of energy-efficient lighting and heating systems,6319
828,Organizing regular garbage collection and its subsequent disposal,1150
2552,Installation of energy-efficient lighting and heating systems,1116
409,Organizing regular garbage collection and its subsequent disposal,5225
1732,Installation of energy-efficient lighting and heating systems,6738
2556,Installing modern electricity meters to accurately record consumption,3063
2689,Installation of energy-efficient lighting and heating systems,250
2248,Repair and replacement of the heating system in residential premises,5445
136,Repair and replacement of the heating system in residential premises,583
558,Repair and replacement of the heating system in residential premises,6958
2944,Installing modern electricity meters to accurately record consumption,5314
1531,Supply of drinking water for residents and businesses,6393
875,Supply of drinking water for residents and businesses,2861
95,Provision of district heating services for apartment buildings,5094
1646,Advising on the choice of energy-efficient technologies and equipment for households,6784
1535,Regular maintenance of elevators in residential buildings,949
1740,Conducting seminars and trainings on energy efficiency for residents and businesses,2419
1265,Advising on the choice of energy-efficient technologies and equipment for households,2153
2421,Conducting seminars and trainings on energy efficiency for residents and businesses,5297
1793,Installation of energy-efficient lighting and heating systems,6242
1453,Conducting seminars and trainings on energy efficiency for residents and businesses,5431
72,Installing modern electricity meters to accurately record consumption,750
1532,Supply of electricity for lighting and household needs of the residents,3632
1809,Regular maintenance of elevators in residential buildings,4978
1521,Organizing regular garbage collection and its subsequent disposal,5063
1526,Advising on the choice of energy-efficient technologies and equipment for households,5250
1341,Installing modern electricity meters to accurately record consumption,6038
2019,Repair and replacement of the heating system in residential premises,765
24,Installation of energy-efficient lighting and heating systems,3019
2885,Regular maintenance of elevators in residential buildings,3891
2754,Conducting seminars and trainings on energy efficiency for residents and businesses,1613
2777,Supply of electricity for lighting and household needs of the residents,3613
574,Provision of district heating services for apartment buildings,3450
1787,Installing modern electricity meters to accurately record consumption,2781
2875,Installation of energy-efficient lighting and heating systems,669
290,Provision of district heating services for apartment buildings,3488
1389,Supply of electricity for lighting and household needs of the residents,5353
354,Conducting seminars and trainings on energy efficiency for residents and businesses,277
452,Provision of district heating services for apartment buildings,2231
2560,Regular maintenance of elevators in residential buildings,1265
1390,Advising on the choice of energy-efficient technologies and equipment for households,4089
2291,Supply of electricity for lighting and household needs of the residents,256
2956,Supply of drinking water for residents and businesses,1481
2216,Organizing regular garbage collection and its subsequent disposal,6987
2916,Repair and replacement of the heating system in residential premises,5746
2745,Conducting seminars and trainings on energy efficiency for residents and businesses,3245
1195,Provision of district heating services for apartment buildings,5457
2311,Repair and replacement of the heating system in residential premises,3959
1239,Provision of district heating services for apartment buildings,3568
2693,Organizing regular garbage collection and its subsequent disposal,2650
628,Provision of district heating services for apartment buildings,2147
640,Provision of district heating services for apartment buildings,2802
970,Organizing regular garbage collection and its subsequent disposal,1363
393,Advising on the choice of energy-efficient technologies and equipment for households,6449
2400,Supply of drinking water for residents and businesses,3597
445,Supply of electricity for lighting and household needs of the residents,5058
481,Regular maintenance of elevators in residential buildings,5776
1916,Repair and replacement of the heating system in residential premises,1805
2462,Advising on the choice of energy-efficient technologies and equipment for households,3412
2168,Provision of district heating services for apartment buildings,5305
2469,Repair and replacement of the heating system in residential premises,4546
1205,Regular maintenance of elevators in residential buildings,3102
1609,Advising on the choice of energy-efficient technologies and equipment for households,6775
1846,Conducting seminars and trainings on energy efficiency for residents and businesses,515
2060,Installation of energy-efficient lighting and heating systems,2286
2828,Organizing regular garbage collection and its subsequent disposal,908
2921,Installation of energy-efficient lighting and heating systems,213
1319,Conducting seminars and trainings on energy efficiency for residents and businesses,5860
2800,Organizing regular garbage collection and its subsequent disposal,6567
2783,Organizing regular garbage collection and its subsequent disposal,4432
1687,Regular maintenance of elevators in residential buildings,5219
2911,Provision of district heating services for apartment buildings,3281
1915,Regular maintenance of elevators in residential buildings,5189
2816,Regular maintenance of elevators in residential buildings,6213
715,Supply of electricity for lighting and household needs of the residents,3126
136,Supply of drinking water for residents and businesses,3947
2469,Conducting seminars and trainings on energy efficiency for residents and businesses,4534
728,Installing modern electricity meters to accurately record consumption,4585
1984,Installing modern electricity meters to accurately record consumption,216
1246,Provision of district heating services for apartment buildings,2723
2215,Provision of district heating services for apartment buildings,1862
521,Installing modern electricity meters to accurately record consumption,5407
274,Installing modern electricity meters to accurately record consumption,3488
1523,Regular maintenance of elevators in residential buildings,6354
2821,Supply of electricity for lighting and household needs of the residents,2698
2258,Regular maintenance of elevators in residential buildings,4583
2897,Installing modern electricity meters to accurately record consumption,2081
1279,Organizing regular garbage collection and its subsequent disposal,3540
1392,Supply of electricity for lighting and household needs of the residents,2545
2311,Supply of electricity for lighting and household needs of the residents,1258
1978,Installing modern electricity meters to accurately record consumption,2438
2512,Supply of electricity for lighting and household needs of the residents,1431
2641,Repair and replacement of the heating system in residential premises,4022
80,Supply of electricity for lighting and household needs of the residents,3224
958,Regular maintenance of elevators in residential buildings,3142
2065,Advising on the choice of energy-efficient technologies and equipment for households,2444
2796,Installation of energy-efficient lighting and heating systems,1847
2080,Conducting seminars and trainings on energy efficiency for residents and businesses,883
127,Repair and replacement of the heating system in residential premises,4932
1868,Conducting seminars and trainings on energy efficiency for residents and businesses,5804
2942,Advising on the choice of energy-efficient technologies and equipment for households,1033
1690,Regular maintenance of elevators in residential buildings,3874
1213,Supply of drinking water for residents and businesses,4157
2077,Conducting seminars and trainings on energy efficiency for residents and businesses,4531
1164,Supply of drinking water for residents and businesses,3533
2245,Installation of energy-efficient lighting and heating systems,2622
1028,Supply of drinking water for residents and businesses,1747
1650,Supply of drinking water for residents and businesses,2006
1988,Installing modern electricity meters to accurately record consumption,1034
696,Supply of electricity for lighting and household needs of the residents,6937
2006,Organizing regular garbage collection and its subsequent disposal,3744
712,Organizing regular garbage collection and its subsequent disposal,5487
1512,Supply of electricity for lighting and household needs of the residents,951
741,Supply of electricity for lighting and household needs of the residents,5099
506,Conducting seminars and trainings on energy efficiency for residents and businesses,196
845,Installing modern electricity meters to accurately record consumption,2067
2401,Supply of electricity for lighting and household needs of the residents,2378
1745,Organizing regular garbage collection and its subsequent disposal,5277
394,Repair and replacement of the heating system in residential premises,6969
170,Installation of energy-efficient lighting and heating systems,1575
1712,Installing modern electricity meters to accurately record consumption,37
1302,Supply of drinking water for residents and businesses,5643
278,Installing modern electricity meters to accurately record consumption,598
1043,Provision of district heating services for apartment buildings,2472
1487,Installation of energy-efficient lighting and heating systems,422
434,Installing modern electricity meters to accurately record consumption,982
2968,Provision of district heating services for apartment buildings,4171
2955,Installation of energy-efficient lighting and heating systems,4885
1535,Repair and replacement of the heating system in residential premises,6645
624,Installation of energy-efficient lighting and heating systems,2748
1844,Regular maintenance of elevators in residential buildings,6156
1246,Installation of energy-efficient lighting and heating systems,1076
1101,Organizing regular garbage collection and its subsequent disposal,4270
494,Supply of electricity for lighting and household needs of the residents,5899
1094,Supply of drinking water for residents and businesses,2100
1254,Installing modern electricity meters to accurately record consumption,423
975,Installing modern electricity meters to accurately record consumption,43
1171,Conducting seminars and trainings on energy efficiency for residents and businesses,6083
647,Installing modern electricity meters to accurately record consumption,5700
557,Installation of energy-efficient lighting and heating systems,5473
2851,Advising on the choice of energy-efficient technologies and equipment for households,2707
912,Installing modern electricity meters to accurately record consumption,5166
2702,Regular maintenance of elevators in residential buildings,96
1846,Installation of energy-efficient lighting and heating systems,965
2745,Organizing regular garbage collection and its subsequent disposal,6332
1120,Regular maintenance of elevators in residential buildings,3938
2284,Provision of district heating services for apartment buildings,1035
1911,Supply of drinking water for residents and businesses,350
2900,Supply of drinking water for residents and businesses,6146
1268,Supply of drinking water for residents and businesses,1753
102,Installing modern electricity meters to accurately record consumption,2520
2768,Conducting seminars and trainings on energy efficiency for residents and businesses,2171
2569,Advising on the choice of energy-efficient technologies and equipment for households,6403
289,Repair and replacement of the heating system in residential premises,4681
2353,Supply of electricity for lighting and household needs of the residents,5631
2326,Supply of electricity for lighting and household needs of the residents,4745
1816,Supply of drinking water for residents and businesses,5898
953,Installing modern electricity meters to accurately record consumption,4092
2241,Installing modern electricity meters to accurately record consumption,2944
143,Provision of district heating services for apartment buildings,2522
890,Regular maintenance of elevators in residential buildings,5803
2076,Regular maintenance of elevators in residential buildings,6476
2415,Organizing regular garbage collection and its subsequent disposal,6322
1193,Repair and replacement of the heating system in residential premises,2638
1251,Regular maintenance of elevators in residential buildings,1034
24,Advising on the choice of energy-efficient technologies and equipment for households,2593
2724,Installation of energy-efficient lighting and heating systems,3754
1808,Supply of electricity for lighting and household needs of the residents,6641
1922,Advising on the choice of energy-efficient technologies and equipment for households,2679
899,Organizing regular garbage collection and its subsequent disposal,5493
630,Supply of drinking water for residents and businesses,5030
262,Organizing regular garbage collection and its subsequent disposal,4672
1145,Provision of district heating services for apartment buildings,4505
800,Supply of drinking water for residents and businesses,3006
2618,Installation of energy-efficient lighting and heating systems,6967
2878,Supply of electricity for lighting and household needs of the residents,3810
847,Repair and replacement of the heating system in residential premises,172
814,Supply of drinking water for residents and businesses,3566
1822,Installation of energy-efficient lighting and heating systems,1474
1182,Installation of energy-efficient lighting and heating systems,785
1720,Repair and replacement of the heating system in residential premises,6161
886,Regular maintenance of elevators in residential buildings,4009
771,Repair and replacement of the heating system in residential premises,6556
2744,Installation of energy-efficient lighting and heating systems,3230
711,Installing modern electricity meters to accurately record consumption,344
1810,Organizing regular garbage collection and its subsequent disposal,5343
1904,Advising on the choice of energy-efficient technologies and equipment for households,4783
705,Installation of energy-efficient lighting and heating systems,1152
861,Installation of energy-efficient lighting and heating systems,4782
1393,Regular maintenance of elevators in residential buildings,1058
2552,Supply of drinking water for residents and businesses,5991
2933,Installation of energy-efficient lighting and heating systems,4977
2825,Advising on the choice of energy-efficient technologies and equipment for households,1663
1173,Regular maintenance of elevators in residential buildings,296
2693,Advising on the choice of energy-efficient technologies and equipment for households,3473
1419,Conducting seminars and trainings on energy efficiency for residents and businesses,3056
1368,Advising on the choice of energy-efficient technologies and equipment for households,3676
996,Installing modern electricity meters to accurately record consumption,3442
2264,Regular maintenance of elevators in residential buildings,3428
1799,Regular maintenance of elevators in residential buildings,5585
2714,Regular maintenance of elevators in residential buildings,4124
831,Provision of district heating services for apartment buildings,1208
2693,Provision of district heating services for apartment buildings,4347
1968,Installation of energy-efficient lighting and heating systems,3152
2241,Supply of electricity for lighting and household needs of the residents,2412
2258,Installing modern electricity meters to accurately record consumption,2916
1031,Supply of drinking water for residents and businesses,5106
2561,Organizing regular garbage collection and its subsequent disposal,2346
1458,Conducting seminars and trainings on energy efficiency for residents and businesses,275
2216,Installation of energy-efficient lighting and heating systems,6868
2714,Advising on the choice of energy-efficient technologies and equipment for households,6964
778,Supply of electricity for lighting and household needs of the residents,3469
1113,Installation of energy-efficient lighting and heating systems,30
2512,Provision of district heating services for apartment buildings,275
1435,Installing modern electricity meters to accurately record consumption,2827
269,Provision of district heating services for apartment buildings,4527
1567,Supply of drinking water for residents and businesses,4938
2333,Conducting seminars and trainings on energy efficiency for residents and businesses,6211
703,Organizing regular garbage collection and its subsequent disposal,562
2251,Installation of energy-efficient lighting and heating systems,4535
1607,Advising on the choice of energy-efficient technologies and equipment for households,289
451,Conducting seminars and trainings on energy efficiency for residents and businesses,3222
2932,Organizing regular garbage collection and its subsequent disposal,1978
799,Organizing regular garbage collection and its subsequent disposal,5382
650,Regular maintenance of elevators in residential buildings,3708
2419,Installing modern electricity meters to accurately record consumption,4762
1257,Supply of drinking water for residents and businesses,4779
934,Installation of energy-efficient lighting and heating systems,277
2066,Supply of electricity for lighting and household needs of the residents,6211
2419,Supply of electricity for lighting and household needs of the residents,744
1557,Organizing regular garbage collection and its subsequent disposal,2974
297,Supply of electricity for lighting and household needs of the residents,2829
2798,Conducting seminars and trainings on energy efficiency for residents and businesses,6638
241,Repair and replacement of the heating system in residential premises,1039
427,Regular maintenance of elevators in residential buildings,4048
1859,Supply of drinking water for residents and businesses,3724
2526,Repair and replacement of the heating system in residential premises,1818
1117,Advising on the choice of energy-efficient technologies and equipment for households,6034
413,Organizing regular garbage collection and its subsequent disposal,2992
326,Provision of district heating services for apartment buildings,3483
2519,Supply of electricity for lighting and household needs of the residents,5876
376,Installation of energy-efficient lighting and heating systems,4190
1378,Advising on the choice of energy-efficient technologies and equipment for households,6577
2607,Installing modern electricity meters to accurately record consumption,4767
143,Regular maintenance of elevators in residential buildings,2608
873,Advising on the choice of energy-efficient technologies and equipment for households,1282
1376,Installing modern electricity meters to accurately record consumption,6278
2179,Regular maintenance of elevators in residential buildings,4401
316,Conducting seminars and trainings on energy efficiency for residents and businesses,5402
564,Supply of electricity for lighting and household needs of the residents,1510
2521,Installing modern electricity meters to accurately record consumption,716
2043,Repair and replacement of the heating system in residential premises,2354
2011,Installation of energy-efficient lighting and heating systems,3537
2463,Supply of drinking water for residents and businesses,6162
2120,Regular maintenance of elevators in residential buildings,699
2504,Installing modern electricity meters to accurately record consumption,6037
1504,Supply of drinking water for residents and businesses,56
2692,Regular maintenance of elevators in residential buildings,1736
1767,Regular maintenance of elevators in residential buildings,6288
963,Conducting seminars and trainings on energy efficiency for residents and businesses,479
1401,Installation of energy-efficient lighting and heating systems,5079
2496,Supply of electricity for lighting and household needs of the residents,562
1004,Supply of drinking water for residents and businesses,2223
503,Supply of electricity for lighting and household needs of the residents,1581
2023,Conducting seminars and trainings on energy efficiency for residents and businesses,1697
89,Advising on the choice of energy-efficient technologies and equipment for households,6089
1599,Conducting seminars and trainings on energy efficiency for residents and businesses,593
2268,Installation of energy-efficient lighting and heating systems,3594
1685,Supply of drinking water for residents and businesses,3941
1371,Regular maintenance of elevators in residential buildings,413
129,Advising on the choice of energy-efficient technologies and equipment for households,1029
1433,Installation of energy-efficient lighting and heating systems,5133
2718,Conducting seminars and trainings on energy efficiency for residents and businesses,2724
1556,Organizing regular garbage collection and its subsequent disposal,4702
708,Supply of drinking water for residents and businesses,3823
2675,Advising on the choice of energy-efficient technologies and equipment for households,6824
447,Repair and replacement of the heating system in residential premises,4075
156,Installing modern electricity meters to accurately record consumption,2007
2505,Supply of electricity for lighting and household needs of the residents,3678
1270,Installing modern electricity meters to accurately record consumption,3495
2168,Organizing regular garbage collection and its subsequent disposal,5238
725,Installation of energy-efficient lighting and heating systems,6920
920,Advising on the choice of energy-efficient technologies and equipment for households,6525
2670,Installing modern electricity meters to accurately record consumption,4528
1656,Supply of drinking water for residents and businesses,3090
1780,Installing modern electricity meters to accurately record consumption,2967
547,Repair and replacement of the heating system in residential premises,1423
370,Advising on the choice of energy-efficient technologies and equipment for households,2510
2269,Provision of district heating services for apartment buildings,983
2018,Provision of district heating services for apartment buildings,4407
2763,Organizing regular garbage collection and its subsequent disposal,1937
2398,Installing modern electricity meters to accurately record consumption,3855
1335,Advising on the choice of energy-efficient technologies and equipment for households,4818
284,Conducting seminars and trainings on energy efficiency for residents and businesses,6969
103,Organizing regular garbage collection and its subsequent disposal,3140
