category,amount

the family lost the breadwinner,12.4
sick,37.1
sick,42.0
invalid,14.9
poor,13.2
large family,12.3
poor,5.5
the family lost the breadwinner,13.6
the family lost the breadwinner,10.2
invalid,27.4
poor,30.7
invalid,24.4
the family lost the breadwinner,40.5
poor,27.7
invalid,37.7
large family,42.2
poor,32.0
poor,39.0
poor,11.4
invalid,16.3
invalid,46.6
the family lost the breadwinner,35.8
poor,11.8
invalid,10.0
sick,30.8
large family,7.1
poor,26.0
invalid,30.0
invalid,44.5
invalid,46.9
large family,33.8
the family lost the breadwinner,15.9
invalid,26.4
large family,47.3
invalid,47.1
poor,41.7
poor,9.9
the family lost the breadwinner,42.0
large family,22.2
the family lost the breadwinner,35.1
sick,5.1
poor,45.4
invalid,27.2
large family,35.8
poor,39.5
invalid,33.4
poor,47.3
poor,26.8
the family lost the breadwinner,37.9
sick,46.2
sick,43.8
the family lost the breadwinner,7.2
the family lost the breadwinner,47.1
sick,27.7
sick,23.0
invalid,5.5
sick,12.2
sick,5.2
invalid,44.7
large family,31.6
poor,45.0
sick,28.6
large family,11.9
the family lost the breadwinner,41.1
large family,20.3
sick,11.0
the family lost the breadwinner,45.3
sick,49.1
the family lost the breadwinner,10.9
the family lost the breadwinner,16.6
invalid,7.2
large family,15.3
poor,29.6
sick,5.1
the family lost the breadwinner,15.7
large family,48.7
the family lost the breadwinner,30.3
large family,11.5
sick,14.4
large family,23.5
the family lost the breadwinner,34.5
large family,12.8
large family,38.7
the family lost the breadwinner,41.5
invalid,11.1
large family,44.3
invalid,45.7
poor,26.4
invalid,28.2
invalid,17.3
sick,11.0
sick,43.7
poor,49.7
the family lost the breadwinner,17.9
the family lost the breadwinner,5.8
the family lost the breadwinner,19.2
sick,45.9
invalid,43.2
large family,39.1
invalid,7.9
large family,12.2
large family,8.3
the family lost the breadwinner,17.6
sick,15.6
poor,20.6
sick,30.4
sick,12.1
invalid,8.3
sick,14.5
invalid,36.1
large family,47.1
poor,38.8
the family lost the breadwinner,36.0
poor,31.5
large family,28.1
invalid,41.6
invalid,49.0
invalid,9.6
large family,47.5
poor,22.3
poor,32.8
large family,16.4
poor,26.8
large family,16.8
sick,20.1
sick,39.7
sick,26.9
large family,34.3
poor,12.1
poor,14.4
the family lost the breadwinner,33.7
sick,47.2
poor,41.3
the family lost the breadwinner,23.2
the family lost the breadwinner,47.3
invalid,36.5
invalid,46.0
sick,12.6
invalid,27.8
poor,30.4
large family,6.1
sick,45.5
the family lost the breadwinner,9.4
invalid,15.7
large family,18.0
large family,40.1
large family,24.1
large family,11.1
invalid,46.0
sick,27.4
poor,6.9
sick,36.8
