company_email,IBAN,name

sjohnson@example.org,UA673226690000026005892270660,Vinnitsaoblenergo
spittman@example.net,UA673226690000026002563987807,Zahidenergo
christopherfranklin@example.org,UA673226690000026006638621735,Ucrteplo
hking@example.net,UA673226690000026004433563949,Zahidenergo
hbailey@example.com,UA673226690000026005790144324,Poltavaoblenergo
katherinesmith@example.com,UA673226690000026002356832847,Poltavaoblenergo
markmorse@example.com,UA673226690000026007738503814,DTEC
brandonliu@example.net,UA673226690000026003738855838,Ukrenergo
berrydavid@example.net,UA673226690000026005967674093,Zacarpatiaoblenergo
simsmorgan@example.net,UA673226690000026001541540018,Energoatom
emilycollins@example.org,UA673226690000026001128638448,Vinnitsaoblenergo
huntgabrielle@example.org,UA673226690000026001469316323,Zahidenergo
andrewshaw@example.com,UA673226690000026007817206642,Energy service company
wknox@example.net,UA673226690000026000273313176,Zahidenergo
michael65@example.net,UA673226690000026007143603094,DTEC
meganbarker@example.com,UA673226690000026007816913630,Zacarpatiaoblenergo
fowlerchristine@example.org,UA673226690000026002410248507,Energy service company
dawn18@example.com,UA673226690000026007495679150,Energy service company
michellethomas@example.com,UA673226690000026004745083103,Energy service company
justintate@example.net,UA673226690000026004040126401,Vinnitsaoblenergo
monicablack@example.net,UA673226690000026002300626867,Zacarpatiaoblenergo
greed@example.org,UA673226690000026006582957915,Energy service company
ivasquez@example.com,UA673226690000026005565578892,DTEC
georgetaylor@example.com,UA673226690000026007188848838,DTEC
cameronross@example.net,UA673226690000026000464055751,Vinnitsaoblenergo
crystalgarrett@example.net,UA673226690000026003228748162,Zacarpatiaoblenergo
katrinabutler@example.org,UA673226690000026007234919882,Energy service company
nschmidt@example.org,UA673226690000026002359651969,Energoatom
coopersarah@example.net,UA673226690000026001298806275,Zahidenergo
msteele@example.com,UA673226690000026001182192093,Ukrenergo
vcooper@example.com,UA673226690000026000126485556,Zacarpatiaoblenergo
cisneroscarl@example.net,UA673226690000026003953558838,Ukrenergo
